timestamp,scene_id,shot_id,step,status,latency_ms,metadata
2026-02-16T21:04:25.761528,SCENE-001,SCENE-001-SHOT-001,IMAGE_GEN,SUCCESS,547.49,"{""seed"": 96794509}"
2026-02-16T21:04:26.767963,SCENE-001,SCENE-001-SHOT-001,VIDEO_GEN,SUCCESS,1006.24,"{""shot_type"": ""Wide"", ""lens"": ""24mm"", ""movement"": ""Slow Pan""}"
2026-02-16T21:04:27.295375,SCENE-002,SCENE-002-SHOT-001,IMAGE_GEN,SUCCESS,526.99,"{""seed"": 1609924255}"
2026-02-16T21:04:28.298924,SCENE-002,SCENE-002-SHOT-001,VIDEO_GEN,SUCCESS,1003.23,"{""shot_type"": ""Wide"", ""lens"": ""35mm"", ""movement"": ""Tracking""}"
2026-02-16T21:04:28.824614,SCENE-002,SCENE-002-SHOT-002,IMAGE_GEN,SUCCESS,525.36,"{""seed"": 1874531648}"
2026-02-16T21:04:29.831545,SCENE-002,SCENE-002-SHOT-002,VIDEO_GEN,SUCCESS,1006.60,"{""shot_type"": ""Medium"", ""lens"": ""35mm"", ""movement"": ""Tracking""}"
2026-02-16T21:04:30.358730,SCENE-003,SCENE-003-SHOT-001,IMAGE_GEN,SUCCESS,526.64,"{""seed"": 1020254724}"
2026-02-16T21:04:31.365856,SCENE-003,SCENE-003-SHOT-001,VIDEO_GEN,SUCCESS,1006.80,"{""shot_type"": ""Wide"", ""lens"": ""35mm"", ""movement"": ""Tracking""}"
2026-02-16T21:04:31.897185,SCENE-003,SCENE-003-SHOT-002,IMAGE_GEN,SUCCESS,530.77,"{""seed"": 419241762}"
2026-02-16T21:04:32.899952,SCENE-003,SCENE-003-SHOT-002,VIDEO_GEN,SUCCESS,1002.36,"{""shot_type"": ""Medium"", ""lens"": ""35mm"", ""movement"": ""Tracking""}"
2026-02-16T21:04:33.432954,SCENE-001,SCENE-001-SHOT-001,IMAGE_GEN,SUCCESS,530.88,"{""seed"": 96794509}"
2026-02-16T21:04:34.439562,SCENE-001,SCENE-001-SHOT-001,VIDEO_GEN,SUCCESS,1006.30,"{""shot_type"": ""Wide"", ""lens"": ""24mm"", ""movement"": ""Slow Pan""}"
